"School","SA1","No. of Students"
"Ainslie School","80105105102","5"
"Ainslie School","80105105302","5"
"Ainslie School","80105105404","5"
"Ainslie School","80105105605","5"
"Ainslie School","80105105017","6"
"Ainslie School","80105105007","7"
"Ainslie School","80105105104","7"
"Ainslie School","80105105110","7"
"Ainslie School","80105105112","7"
"Ainslie School","80105105116","7"
"Ainslie School","80105105117","7"
"Ainslie School","80105112703","7"
"Ainslie School","80105105016","8"
"Ainslie School","80105112701","8"
"Ainslie School","80105105001","9"
"Ainslie School","80105112704","10"
"Ainslie School","80105105111","13"
"Ainslie School","80105112702","13"
"Ainslie School","80105105002","15"
"Ainslie School","80105105011","15"
"Ainslie School","80105105109","16"
"Ainslie School","80105105115","19"
"Ainslie School","80105105006","25"
"Ainslie School","80105105013","32"
"Alfred Deakin High School","80106107007","5"
"Alfred Deakin High School","80107107903","5"
"Alfred Deakin High School","80107108235","5"
"Alfred Deakin High School","80107108301","5"
"Alfred Deakin High School","80108109306","5"
"Alfred Deakin High School","80108109604","5"
"Alfred Deakin High School","80108109707","5"
"Alfred Deakin High School","80109110109","5"
"Alfred Deakin High School","80109110209","5"
"Alfred Deakin High School","80109110211","5"
"Alfred Deakin High School","80109110405","5"
"Alfred Deakin High School","80109110912","5"
"Alfred Deakin High School","80109111002","5"
"Alfred Deakin High School","80110113503","5"
"Alfred Deakin High School","80106107005","6"
"Alfred Deakin High School","80108109107","6"
"Alfred Deakin High School","80108109405","6"
"Alfred Deakin High School","80109110003","6"
"Alfred Deakin High School","80109110008","6"
"Alfred Deakin High School","80109110206","6"
"Alfred Deakin High School","80109110507","6"
"Alfred Deakin High School","80109110906","6"
"Alfred Deakin High School","80106106205","7"
"Alfred Deakin High School","80106106208","7"
"Alfred Deakin High School","80109109904","7"
"Alfred Deakin High School","80109110504","7"
"Alfred Deakin High School","80109110702","7"
"Alfred Deakin High School","80109110007","8"
"Alfred Deakin High School","80109110104","8"
"Alfred Deakin High School","80109110205","8"
"Alfred Deakin High School","80109110305","8"
"Alfred Deakin High School","80110113502","8"
"Alfred Deakin High School","80106107003","9"
"Alfred Deakin High School","80109110002","9"
"Alfred Deakin High School","80109110005","9"
"Alfred Deakin High School","80109110303","9"
"Alfred Deakin High School","80109110304","9"
"Alfred Deakin High School","80106106204","10"
"Alfred Deakin High School","80109110009","10"
"Alfred Deakin High School","80109110010","10"
"Alfred Deakin High School","80109110302","10"
"Alfred Deakin High School","80109110307","10"
"Alfred Deakin High School","80109110006","11"
"Alfred Deakin High School","80109110011","11"
"Alfred Deakin High School","80109110012","11"
"Alfred Deakin High School","80109110203","11"
"Alfred Deakin High School","80109109901","13"
"Alfred Deakin High School","80109110207","14"
"Alfred Deakin High School","80109110301","14"
"Alfred Deakin High School","80109110306","14"
"Alfred Deakin High School","80109110505","15"
